State, Median Home Price, Median Home Size(in square feet)
Alabama, $165200, 1996
Alaska, $293400, 1857
Arizona, $349300, 1942
Arkansas, $145300, 1865
California, $684800, 1778
Colorado, $488600, 2243
Connecticut, $318400, 1942 
Delaware,$304500, 2164 
Florida, $294900, 1715 
Georgia, $240400, 2159 
Hawaii, $732000, 1229 
Idaho, $398900, 2192 
Illinois, $234000, 1650 
Indiana, $186100, 1904 
Iowa, $161700, 1604 
Kansas, $177400, 1987 
Kentucky, $165900, 1823 
Louisiana, $189200, 1923 
Maine, $301700, 1666
Maryland, $361900, 1862
Massachusetts, $510500, 1805 
Michigan, $207800, 1617
Minnesota, $300100, 1981  
Mississippi, $141900, 2033 
Missouri, $194000, 1799 
Montana, $353700, 2108 
Nebraska, $205200, 2040 
Nevada, $358400, 1925 
New Hampshire, $357000, 1889 
New Jersey, $397900, 1724 
New Mexico, $246000, 1996 
New York, $373000, 1528 
North Carolina, $242300, 2018 
North Dakota, $240200, 2145
Ohio, $179700, 1691 
Oklahoma, $146600, 1855
Oregon, $438100, 1870   
Pennsylvania, $234800, 1728   
Rhode Island, $375800, 1576 
South Carolina, $223400, 1964 
South Dakota, $239500, 1853 
Tennessee, $231600, 2055 
Texas, $243600, 2073  
Utah, $458900, 2522  
Vermont, $294100, 1968
Virginia, $329200, 2009  
Washington, $504200, 2025 
West Virginia, $114600, 1789  
Wisconsin, $231300, 1800 
Wyoming, $272700, 2198